iter	Passed	Remaining
485	1377	1456
486	1379	1453
487	1382	1450
488	1384	1447
489	1387	1444
490	1392	1443
491	1395	1440
492	1398	1437
493	1401	1435
494	1404	1433
495	1409	1432
496	1412	1429
497	1415	1427
498	1417	1423
499	1421	1421
500	1424	1418
501	1427	1415
502	1430	1413
503	1432	1409
504	1434	1406
505	1437	1403
506	1440	1400
507	1442	1397
508	1445	1394
509	1448	1391
510	1450	1388
511	1453	1385
512	1455	1382
513	1458	1379
514	1460	1375
515	1463	1373
516	1467	1370
517	1470	1368
518	1476	1368
519	1482	1368
520	1485	1365
521	1488	1363
522	1491	1359
523	1493	1356
524	1496	1353
525	1499	1351
526	1502	1348
527	1507	1347
528	1510	1344
529	1512	1341
530	1515	1338
531	1517	1335
532	1521	1333
533	1524	1330
534	1526	1326
535	1529	1323
536	1531	1320
537	1534	1317
538	1537	1314
539	1539	1311
540	1542	1308
541	1543	1304
542	1547	1302
543	1550	1299
544	1552	1296
545	1555	1293
546	1557	1290
547	1560	1287
548	1563	1284
549	1565	1280
550	1568	1278
551	1571	1275
552	1573	1272
553	1576	1268
554	1578	1265
555	1581	1262
556	1583	1259
557	1586	1256
558	1588	1253
559	1592	1250
560	1594	1248
561	1599	1246
562	1602	1244
563	1608	1243
564	1612	1241
565	1614	1238
566	1617	1235
567	1619	1231
568	1622	1228
569	1625	1226
570	1628	1223
571	1634	1222
572	1638	1221
573	1641	1218
574	1644	1215
575	1648	1213
576	1652	1211
577	1655	1208
578	1658	1206
579	1661	1202
580	1665	1201
581	1669	1198
582	1672	1196
583	1675	1193
584	1678	1190
585	1681	1188
586	1684	1185
587	1687	1182
588	1691	1180
589	1693	1176
590	1696	1174
591	1700	1171
592	1703	1169
593	1706	1166
594	1709	1163
595	1713	1161
596	1718	1159
597	1722	1158
598	1727	1156
599	1732	1155
600	1736	1153
601	1740	1150
602	1743	1147
603	1749	1146
604	1751	1143
605	1754	1140
606	1758	1138
607	1763	1136
608	1765	1133
609	1769	1131
610	1772	1128
611	1774	1125
612	1778	1122
613	1781	1120
614	1784	1117
615	1787	1114
616	1790	1111
617	1794	1109
618	1798	1106
619	1801	1104
620	1804	1101
621	1807	1098
622	1810	1095
623	1813	1092
624	1817	1090
625	1820	1087
626	1823	1085
627	1828	1082
628	1831	1080
629	1833	1077
630	1837	1074
631	1840	1071
632	1843	1069
633	1846	1066
634	1850	1063
635	1853	1061
636	1857	1058
637	1861	1056
638	1865	1053
639	1869	1051
640	1872	1048
641	1877	1046
642	1881	1044
643	1884	1041
644	1887	1038
645	1891	1036
646	1894	1033
647	1897	1030
648	1900	1027
649	1904	1025
650	1907	1022
651	1910	1019
652	1914	1017
653	1918	1014
654	1923	1012
655	1925	1009
656	1929	1007
657	1931	1004
658	1935	1001
659	1941	1000
660	1944	997
661	1947	994
662	1950	991
663	1953	988
664	1957	986
665	1960	983
666	1964	980
667	1968	978
668	1971	975
669	1974	972
670	1977	969
671	1980	966
672	1983	963
673	1987	961
674	1990	958
675	1993	955
676	1997	952
677	2000	949
678	2003	947
679	2008	944
680	2011	942
681	2014	939
682	2017	936
683	2022	934
684	2025	931
685	2029	929
686	2033	926
687	2038	924
688	2046	923
689	2049	920
690	2054	918
691	2059	916
692	2061	913
693	2065	910
694	2069	908
695	2074	906
696	2078	903
697	2082	901
698	2086	898
699	2091	896
700	2095	893
701	2099	891
702	2102	888
703	2106	885
704	2108	882
705	2111	879
706	2113	875
707	2117	873
708	2120	870
709	2123	867
710	2126	864
711	2130	861
712	2135	859
713	2139	856
714	2142	853
715	2145	850
716	2148	848
717	2153	845
718	2156	842
719	2159	839
720	2161	836
721	2164	833
722	2166	830
723	2170	827
724	2173	824
725	2176	821
726	2179	818
727	2182	815
728	2185	812
729	2189	809
730	2192	806
731	2197	804
732	2199	801
733	2203	798
734	2205	795
735	2208	792
736	2211	789
737	2214	786
738	2217	783
739	2221	780
740	2224	777
741	2227	774
742	2230	771
743	2233	768
744	2236	765
745	2239	762
746	2242	759
747	2245	756
748	2249	753
749	2252	750
750	2254	747
751	2258	744
752	2261	741
753	2264	738
754	2267	735
755	2269	732
756	2272	729
757	2275	726
758	2278	723
759	2282	720
760	2285	717
761	2288	714
762	2291	711
763	2295	708
764	2297	705
765	2300	702
766	2303	699
767	2306	696
768	2311	694
769	2314	691
770	2317	688
771	2320	685
772	2323	682
773	2327	679
774	2330	676
775	2333	673
776	2336	670
777	2340	667
778	2350	666
779	2353	663
780	2355	660
781	2358	657
782	783	2370	653
784	2374	650
785	2377	647
786	2390	646
787	2392	643
788	2395	640
789	2397	637
790	2403	635
791	2407	632
792	2410	629
793	2414	626
794	2417	623
795	2419	620
796	2422	616
797	2424	613
798	2426	610
799	2429	607
800	2432	604
801	2435	601
802	2437	597
803	2440	594
804	2442	591
805	2447	589
806	2450	585
807	2452	582
808	2455	579
809	2457	576
810	2460	573
811	2464	570
812	2466	567
813	2471	564
814	2473	561
815	2476	558
816	2478	555
817	2481	552
818	2483	548
819	2486	545
820	2489	542
821	2491	539
822	2496	536
823	2498	533
824	2501	530
825	2503	527
826	2505	524
827	2507	520
828	2511	518
829	2514	514
830	2516	511
831	2518	508
832	2520	505
833	2523	502
834	2524	498
835	2527	495
836	2530	492
837	2533	489
838	2536	486
839	2539	483
840	2543	480
841	2546	477
842	2548	474
843	2551	471
844	2553	468
845	2556	465
846	2559	462
847	2562	459
848	2564	456
849	2567	453
850	2570	449
851	2573	446
852	2576	443
853	2578	440
854	2581	437
855	2583	434
856	2585	431
857	2588	428
858	2593	425
859	2595	422
860	2597	419
861	2600	416
862	2602	413
863	2604	410
864	2607	406
865	2610	403
866	2612	400
867	2615	397
868	2617	394
869	2620	391
870	2624	388
871	2626	385
872	2628	382
873	2631	379
874	2634	376
875	2638	373
876	2641	370
877	2644	367
878	2646	364
879	2649	361
880	2651	358
881	2655	355
882	2658	352
883	2660	349
884	2663	346
885	2665	342
886	2668	339
887	2671	336
888	2674	333
889	2676	330
890	2678	327
891	2681	324
892	2683	321
893	2687	318
894	2690	315
895	2693	312
896	2695	309
897	2699	306
898	2703	303
899	2706	300
900	2708	297
901	2710	294
902	2713	291
903	2717	288
904	2721	285
905	2724	282
906	2726	279
907	2729	276
908	2732	273
909	2736	270
910	2738	267
911	2741	264
912	2743	261
913	2746	258
914	2749	255
915	2752	252
916	2755	249
917	2758	246
918	2760	243
919	2762	240
920	2766	237
921	2769	234
922	2773	231
923	2776	228
924	2778	225
925	2783	222
926	2787	219
927	2793	216
928	2796	213
929	2800	210
930	2802	207
931	2806	204
932	2808	201
933	2811	198
934	2814	195
935	2817	192
936	2820	189
937	2822	186
938	2825	183
939	2827	180
940	2830	177
941	2833	174
942	2836	171
943	2840	168
944	2844	165
945	2848	162
946	2851	159
947	2854	156
948	2856	153
949	2859	150
950	2862	147
951	2864	144
952	2867	141
953	2869	138
954	2871	135
955	2873	132
956	2875	129
957	2878	126
958	2880	123
959	2883	120
960	2885	117
961	2887	114
962	2889	111
963	2891	107
964	2893	104
965	2896	101
966	2898	98
967	2900	95
968	2902	92
969	2905	89
970	2907	86
971	2910	83
972	2913	80
973	2915	77
974	2917	74
975	2919	71
976	2921	68
977	2924	65
978	2926	62
979	2928	59
980	2931	56
981	2933	53
982	2935	50
983	2937	47
984	2941	44
985	2945	41
986	2947	38
987	2948	35
988	2950	32
989	2952	29
990	2954	26
991	2956	23
992	2959	20
993	2961	17
994	2963	14
995	2966	11
996	2968	8
997	2970	5
998	2973	2
999	2975	0
9	2973	0
