iter	Passed	Remaining
0	151	151175
1	153	76625
2	155	51770
3	157	39256
4	160	31866
5	162	26853
6	164	23340
7	166	20700
8	168	18513
9	170	16838
10	172	15506
11	173	14277
12	175	13318
13	177	12502
14	179	11812
15	183	11268
16	185	10719
17	187	10225
18	189	9781
19	191	9382
20	193	9023
21	195	8683
22	197	8396
23	199	8116
24	201	7864
25	203	7641
26	206	7425
27	208	7220
28	210	7036
29	212	6865
30	214	6699
31	216	6542
32	222	6508
33	219	6244
34	226	6236
35	228	6113
36	230	5991
37	232	5898
38	235	5790
39	236	5687
40	239	5590
41	240	5495
42	243	5409
43	244	5305
44	245	5220
45	248	5148
46	251	5090
47	253	5026
48	256	4971
49	258	4912
50	260	4838
51	264	4813
52	266	4770
53	269	4719
54	272	4675
55	274	4627
56	276	4580
57	279	4546
58	282	4500
59	285	4475
60	288	4438
61	291	4405
62	293	4367
63	293	4295
64	297	4273
65	299	4235
66	301	4202
67	304	4169
68	306	4131
69	309	4111
70	310	4063
71	311	4017
72	314	3995
73	318	3980
74	319	3944
75	316	3845
76	319	3825
77	321	3801
78	323	3774
79	329	3789
80	332	3770
81	335	3751
82	337	3728
83	338	3692
84	340	3669
85	339	3607
86	343	3600
87	345	3578
88	346	3547
89	349	3531
90	355	3548
91	357	3529
92	360	3514
93	362	3497
94	361	3444
95	363	3427
96	369	3443
97	368	3395
98	371	3381
99	378	3403
100	376	3355
101	379	3340
102	381	3323
103	383	3305
104	389	3320
105	391	3304
106	395	3299
107	399	3303
108	403	3301
109	407	3295
110	411	3296
111	413	3279
112	416	3270
113	419	3258
114	421	3242
115	423	3230
116	427	3223
117	429	3208
118	431	3196
119	434	3184
120	436	3169
121	438	3156
122	441	3145
123	442	3124
124	444	3111
125	446	3099
126	449	3090
127	452	3079
128	454	3068
129	456	3057
130	459	3047
131	461	3037
132	464	3028
133	466	3011
134	468	3001
135	471	2994
136	474	2988
137	476	2978
138	479	2967
139	481	2955
140	483	2944
141	485	2934
142	487	2923
143	491	2924
144	494	2914
145	496	2905
146	498	2895
147	501	2887
148	504	2878
149	506	2872
150	509	2862
151	511	2853
152	513	2844
153	516	2836
154	518	2828
155	521	2821
156	524	2816
157	526	2808
158	528	2793
159	530	2784
160	532	2775
161	534	2767
162	538	2766
163	541	2758
164	543	2750
165	545	2739
166	547	2732
167	550	2724
168	553	2721
169	555	2714
170	558	2709
171	561	2703
172	564	2698
173	567	2694
174	570	2690
175	573	2682
176	575	2677
177	578	2669
178	580	2661
179	582	2655
180	585	2647
181	588	2644
182	591	2638
183	593	2633
184	595	2624
185	598	2618
186	600	2610
187	603	2606
188	606	2600
189	608	2593
190	611	2588
191	613	2581
192	615	2574
193	618	2570
194	621	2564
195	624	2559
196	626	2553
197	629	2548
198	632	2544
199	635	2541
200	637	2535
201	640	2531
202	643	2526
203	646	2521
204	649	2517
205	651	2512
206	654	2506
207	656	2501
208	659	2495
209	661	2489
210	664	2484
211	666	2478
212	669	2472
213	672	2468
214	674	2462
215	676	2456
216	679	2451
217	682	2448
218	685	2444
219	687	2437
220	690	2433
221	692	2427
222	695	2423
223	700	2425
224	702	2419
225	704	2413
226	707	2408
227	709	2403
228	711	2396
229	714	2392
230	717	2387
231	719	2381
232	721	2374
233	723	2368
234	726	2364
235	728	2358
236	731	2356
237	733	2347
238	735	2342
239	736	2333
240	739	2328
241	741	2322
242	743	2317
243	746	2313
244	749	2309
245	751	2304
246	754	2299
247	756	2293
248	759	2289
249	760	2282
250	763	2277
251	765	2272
252	768	2267
253	770	2263
254	773	2259
255	774	2251
256	776	2245
257	779	2242
258	782	2238
259	784	2232
260	786	2227
261	788	2222
262	792	2220
263	798	2226
264	802	2225
265	804	2220
266	807	2216
267	809	2211
268	812	2207
269	814	2203
270	817	2199
271	820	2195
272	822	2190
273	825	2186
274	827	2181
275	830	2177
276	832	2172
277	834	2167
278	836	2162
279	840	2160
280	842	2156
281	845	2152
282	847	2148
283	850	2145
284	853	2140
285	855	2136
286	859	2136
287	861	2130
288	864	2126
289	866	2121
290	869	2117
291	871	2113
292	874	2108
293	876	2104
294	878	2099
295	880	2094
296	882	2089
297	885	2085
298	887	2081
299	891	2079
300	893	2075
301	896	2071
302	898	2067
303	900	2061
304	902	2056
305	904	2052
306	908	2051
307	911	2046
308	913	2042
309	915	2037
310	917	2033
311	920	2028
312	922	2025
313	926	2023
314	929	2020
315	931	2016
316	934	2012
317	936	2008
318	941	2009
319	943	2004
320	946	2002
321	949	1998
322	952	1995
323	954	1991
324	957	1989
325	960	1984
326	962	1981
327	964	1976
328	966	1972
329	969	1968
330	972	1965
331	975	1962
332	977	1958
333	979	1953
334	982	1949
335	984	1945
336	987	1943
337	990	1939
338	992	1936
339	995	1932
340	997	1928
341	1000	1923
342	1003	1921
343	1007	1921
344	1009	1916
345	1012	1913
346	1014	1908
347	1016	1905
348	1020	1902
349	1022	1898
350	1024	1894
351	1027	1890
352	1029	1886
353	1031	1881
354	1033	1877
355	1036	1874
356	1038	1870
357	1040	1866
358	1043	1862
359	1045	1858
360	1047	18361361	1050	1852
362	1053	1849
363	1056	1845
364	1058	1842
365	1061	1838
366	1063	1833
367	1065	1830
368	1068	1827
369	1071	1823
370	1074	1820
371	1076	1817
372	1079	1814
373	1081	1810
374	1084	1808
375	1087	1804
376	1089	1801
377	1092	1797
378	1095	1794
379	1097	1791
380	1100	1788
381	1103	1784
382	1106	1782
383	1108	1778
384	1111	1775
385	1113	1771
386	1117	1769
387	1119	1766
388	1122	1763
389	1124	1759
390	1127	1756
391	1129	1752
392	1132	1748
393	1134	1745
394	1135	1739
395	1137	1735
396	1139	17397397	1142	17398398	1144	17399399	1146	17400400	1149	17401401	1152	17402402	1154	17403403	1156	17404404	1160	17405405	1163	17406406	1166	17407407	1169	16408408	1171	16409409	1173	16410410	1175	16411411	1178	16412412	1182	16413413	1184	16414	1184	1670
415	1187	1666
416	1189	1663
417417	1193	16418418	1199	1663
419	1205	1664
420	1208	1662
421	1212	1660
422	1217	1660
423	1220	1657
424	1221	1652
425	1223	1648
426	1225	1644
427	1228	16428428	1230	16429429	1233	16430430	1236	16431431	1238	1628
432	1240	16433433	1243	1621
434	1245	16435435	1248	16436436	1249	16437437	1251	16438438	1254	1603
439	1256	15440440	1258	1595
441	1259	15442442	1263	15443443	1265	15444444	1268	15445445	1269	15446446	1272	15447	1272	1567
448448	1278	15449449	1281	15450450	1283	15451451	1285	15452452	1288	15453453	1290	15454454	1293	15455455	1296	15456456	1298	15457457	1301	15458458	1303	15459459	1306	15460460	1309	15461461	1313	15462462	1315	15463463	1318	15464464	1320	15465465	1323	15466466	1325	15467467	1329	15468468	1332	15469469	1334	1505
470	1337	1501
471	1340	1499
472	1344	1498
473	1347	1494
474	1349	1491
475	1351	1487
476	1354	1484
477	1356	1481
478	1359	1479
479	1362	1475
480	1364	1472
481	1366	1468
482	1369	1465
483	1371	1462
484	1374	1459
