iter	Logloss
0	0.6890252867
1	0.6844238244
2	0.6797936044
3	0.6759513048
4	0.672706143
5	0.6681785114
6	0.6642003127
7	0.6604897825
8	0.657933284
9	0.6538990352
10	0.6505244668
11	0.6480591504
12	0.6437394778
13	0.6399077664
14	0.6360775011
15	0.6323397321
16	0.6296376989
17	0.6267465376
18	0.6230136157
19	0.6203911903
20	0.6170443638
21	0.6136851417
22	0.6100865036
23	0.6067601804
24	0.6029152908
25	0.5995455704
26	0.5970741925
27	0.5936788944
28	0.5899093291
29	0.5868366842
30	0.5834055242
31	0.580507306
332	0.579517245333	0.5750916125334	0.5736630079335	0.5703730969336	0.5679969241337	0.565638537
38	0.5630638288
39	0.5604930102
40	0.5579819233
41	0.5551727747
42	0.5530030355
43	0.5510045904
44	0.5483991384
45	0.5464660531
46	0.5445922781
47	0.5418159946
48	0.5392461265449	0.536627377
50	0.5353336587
51	0.5525469494
52	0.5502005663
53	0.547838296
54	0.5458671567
55	0.5433862806
56	0.5409293071
57	0.5386790718
58	0.537193248559	0.5352260455660	0.5326636263661	0.5304409424662	0.528597776963	0.5077850047
664	0.52538111665	0.5044811619
66	0.5024232636
67	0.4999763499
68	0.4976074736
669	0.51565509670	0.4927036973
71	0.4913288852
72	0.4898653729
7373	0.5093122957474	0.5082199117575	75	0.4770257676	76	0.4748997777	77	0.47277578	078	0.470595079	0.4780464255
80	0.4757705388
81	0.4738715506
82	0.4718556492
83	0.4712192894
84	84	0.4613764885	85	0.4596120586	86	0.4581331687	87	0.455970088	088	0.454437589	089	0.452790690	0.4584603818
91	0.4572145252
92	0.4552540057
93	0.4533971963
94	94	0.443207989595	0.44109921896	0.4483825096
9797	0.4374858119898	0.43600972699	0.4434602241
1100	0.43290904651101	0.43114048791102	0.42999390321103	0.4280023582104	0.4354376407
105	0.4334876666
106	0.432182771
107	0.4304235966
108	0.4287317264
109	0.4272541941
110	0.4253556917
111	0.4237531209
112	0.4225044144
113	0.4214281772
114	0.4200014428
115	0.4186161693
116	0.4171857693
117	0.4155135424
118	0.4140935715
119	0.4127136727
120	0.4109921664
121	0.409364998
122	0.4079009058
123	0.4071642727
124	0.4058023084
125	0.4043414207
126	0.402853955
127	0.4020960058
128	0.4006846065
129	0.3995326673
130	0.398258017
131	0.3970920012
132	0.395961646
133	0.3950030756
134	0.3934979642
135	0.3918680997
136	0.3906921334
137	0.3895775487
138	0.3882832002
139	0.3870427063
140	0.3860046647
141	0.384504305
142	0.3832508788
143	0.3821343403
144	0.38096872
145	0.3793733618
146	0.3784591973
147	0.3769026053
148	0.3759000942
149	0.3744723307
150	0.37356345
151	0.3725285209
152	0.3716081807
153	0.3702192221
154	0.3692744492
155	0.3680176733
156	0.3670240308
157	0.3656022515
158	0.3650135621
159	0.3643043862
160	0.3633928885
161	0.3623897872
162	0.361235722
163	0.3600098815
164	0.3589019036
165	0.3577707121
166	0.3565374475
167	0.3555490675
168	0.355018931
169	0.3541382027
170	0.3532056528
171	0.3520856013
172	0.3509330303
173	0.3502308659
174	0.3486866186
175	0.3476190266
176	0.3467111941
177	0.3455566207
178	0.3446445641
179	0.3435116432
180	0.3423499182
181	0.3411626641
182	0.3404828677
183	0.3392692953
184	0.3383500897
185	0.3376154606
186	0.3368326489
187	0.3361146354
188	0.3352651232
189	0.3343429575
